model,rmse,train_time_sec,precision@5,recall@5,precision@10,recall@10
Popularity Baseline,0.9887904653584182,0.028237104415893555,0.07333333333333332,0.05797164188468537,0.07,0.08065597160899356
User-based CF,0.905195576853794,0.4637584686279297,0.0,0.0,0.0,0.0
Item-based CF,0.8768176980299731,3.9435746669769287,0.013333333333333334,0.0030303030303030303,0.016666666666666666,0.007575757575757575
Matrix Factorization (SVD),0.8760750455909909,18.921860456466675,0.013333333333333334,0.012626262626262626,0.016666666666666666,0.02028671811280507
